,artist,name,url
0,New Age Hillbilly,Weekend Warrior,https://www.youtube.com/watch?v=ZQi7MobiDV8
1,Immortal Lee County Killers,Cool Driver,ERROR!
2,Ada Jones,Keep Away From the Fellow Who Owns an Automobile,ERROR!
3,Harlan,Untitled 2,https://www.youtube.com/watch?v=BbTSKh_ANPU
4,New Waver,Tea Break,https://www.youtube.com/watch?v=92b3xmVxUkM
5,Kai,Time Being,ERROR!
6,Night Gallery,Death Spell,https://www.youtube.com/watch?v=I6F3BlpFbic
7,Menhirs of Er Grah,My Orchard Fire,ERROR!
8,The Years,Long Term Jammers,ERROR!
9,Arastoo,Moisture On Rust,ERROR!
10,Sally Hamlin,Our Hired Girl,https://www.youtube.com/watch?v=IjwhNpbKdoQ
11,Dr Clarence Penny,Azalea Waltz,https://www.youtube.com/watch?v=SJV6Sq9FVUA
12,pit malone feat. beekeeper c,quicksand,ERROR!
13,TSIGOTI,(Can) Don't Sleep Through This,ERROR!
14,Sputnik Booster,Oi! the Posers (Remix by Computer Truck),ERROR!
15,Zlatne Uste Balkan Brass Band,Niski Cocek,ERROR!
16,Disen Gage,Kategerin,ERROR!
17,Felipe Sarro,"Alkan, 2me Suite, Op 31, 10 Dans le style fugue, Tres vite",ERROR!
18,Manueljgrotesque,grotesque10,https://www.youtube.com/results?search_query=Manueljgrotesque+-+grotesque10&sp=QgIIAQ%253D%253D
19,Arrogalla remixes Roots Ista Posse,Dubtical mutetu,ERROR!
20,Ctephin,Tardis Dream (Tribute To Dr.Who),https://www.youtube.com/results?search_query=Ctephin+-+Tardis+Dream+%28Tribute+To+Dr.Who%29&sp=QgIIAQ%253D%253D
21,Learning Music,Countoff,ERROR!
22,Nonima,Interlude,https://www.youtube.com/watch?v=CwLR3_G_FbM
23,The Girls At Dawn,When She Goes Away,ERROR!
24,Noah Coward,Noah Coward,ERROR!
25,Oblivian Substanshall,Upside Down,https://www.youtube.com/results?search_query=Oblivian+Substanshall+-+Upside+Down&sp=QgIIAQ%253D%253D
26,Tidy Kid,Smell,https://www.youtube.com/watch?v=WgKQsIa18DE
27,Happy Elf,Juno Six Sex,https://www.youtube.com/watch?v=N4TTAxX-cgw
28,Waylon Thornton and the Heavy Hands,Fell In A Tomb,ERROR!
29,Jimmy Cousins,Coo Coo Brain,ERROR!
30,Jeselsohn & Nuñez,Interaccion iii,ERROR!
31,Shape2,She Says,https://www.youtube.com/watch?v=tWG976BJaZY
32,The Whines,Cut Meat,https://www.youtube.com/watch?v=qUHUsUsd5pw
33,Flint Hayerr,Vibration,https://www.youtube.com/watch?v=RiLWAH3n_Lo
34,4mat,Tundra,https://www.youtube.com/watch?v=7_SmZDP-nPo
35,Bruce Miller,sirangi improv,ERROR!
36,((( vlubä ))),1-3 mm (Excerpt),ERROR!
37,Sexteto Tabalá de Palenque,Agua,https://www.youtube.com/watch?v=-xbHFN8vEU0
38,Chuck Bettis,Technological Crutch,ERROR!
39,Stuart Chalmers,Stuart Chalmers Hymn 2,ERROR!
40,The Superfools,Call Me Or I Will Die,ERROR!
41,johnny_ripper,on the moon,ERROR!
42,Tchakare Kanyembe,Tchakare Kanyembe track 07,ERROR!
43,Gosprom,Nevesta (Flayve Remix),https://www.youtube.com/watch?v=IjQGpWhodoo
44,King Felix,Out on the Open Road,ERROR!
45,Salakapakka Sound System,Field recording from Thailand,https://www.youtube.com/watch?v=KrsDCjmepB4
46,Shisd,Pale Ghost,https://www.youtube.com/watch?v=iC3MH7Luqg4
47,Chilton Taylor Thompson,A Possible End For A Dream,ERROR!
48,Oliver Lake with the Creative Arts Orchestra,Oliver Lake with CAO,ERROR!
49,Quest Poetics,Tonight,https://www.youtube.com/watch?v=H7S-w0XaA3s
50,un automne à Lob-Nor,Untitled 05,ERROR!
51,Algesis,Stratification,ERROR!
52,Dungeon Broads,Nothing To Say,ERROR!
53,The Custodian of Records,Infamous Interlude,ERROR!
54,Black Sea Hotel,Trendafilcheto,ERROR!
55,Podington Bear,Alien Language,https://www.youtube.com/watch?v=dqrdsUl2OBA
56,No Monster Club,Boyhood Deed #11 (Blippity Bloop),ERROR!
57,TRema,OscS,ERROR!
58,Lezet,Kids 4,https://www.youtube.com/watch?v=Bp3MO54dnKk
59,Hinterlandt,Tired Of This,ERROR!
60,Keir Neuringer,On Identity,ERROR!
61,BRIGAND,Metak S` Mojim Imenom,ERROR!
62,The Fucked Up Beat,Cloud Poems,https://www.youtube.com/watch?v=4GvkWhKx0OI
63,Ergo Phizmiz,Scratch,ERROR!
64,Sick To The Back Teeth,Plasma Screen TVs and Spools of Cable,ERROR!
65,Tickle,Interlude,ERROR!
66,The Polish Ambassador,Earthship,https://www.youtube.com/watch?v=IIFMUvbtJDw
67,Nancy,Lucy en el Cielo/Why am I Crying?,ERROR!
68,Monroeville Music Center,Moon Ball,ERROR!
69,Jaras Ramunas Alias ENDICHE VIS. SAT,New # 2,ERROR!
70,Broke For Free,Wash Out,https://www.youtube.com/watch?v=olAm7nnMKMk
71,Glass Boy,Bwar,ERROR!
72,Phemale,1/1/2013,ERROR!
73,ps,081_030222,https://www.youtube.com/watch?v=CRIVrR2_iaM
74,Simon Panrucker,Stacks Of Stuff,https://www.youtube.com/watch?v=Q-xlZUDvzM0
75,Bauchamp,128 dirty disto beat,ERROR!
76,Big Blood,Golden Heart,ERROR!
77,U Can Unlearn Guitar,Beethoven Really Rolls Over (Rage Over Lost Penny),https://www.youtube.com/watch?v=qUTccX2PwIY
78,Dark Chocolate Chips,SC Posi Wobble,ERROR!
79,Ketsa,Waiting For No One,ERROR!
80,Scotch and Soda,Happy Birthday Comfort Stand,ERROR!
81,Ray Rude,Transform,ERROR!
82,Vholtz,Fuckin Boring,ERROR!
83,Project 5am,Wet Ashtray,https://www.youtube.com/watch?v=NTLDkEYAXHw
84,Tyler Twombly,Pump It,ERROR!
85,The Red Thread,All In,ERROR!
86,Alpha Hydrae,Paix,ERROR!
87,The Carbon Manual,Whisper (E.T. Mix),ERROR!
88,In De Nadfin,I wanna dance like a monkey,ERROR!
89,Jesse Spillane,No Disclaimer,https://www.youtube.com/watch?v=mHPgXJyx5F8
90,Jared C. Balogh,Micro Composition 28,ERROR!
91,Preti Pedofili,Il Sol dell'Avvenire,https://www.youtube.com/watch?v=OUBuvXYtuTw
92,Ido Bukelman,4. The Pear Tree,ERROR!
93,Lofiuser,Radiant Jaguar,https://www.youtube.com/watch?v=xkl1jQy4uns
94,Jimmy Watt,Perpethual Background of a Field (second sight) - Part I,https://www.youtube.com/results?search_query=Jimmy+Watt+-+Perpethual+Background+of+a+Field+%28second+sight%29+-+Part+I&sp=QgIIAQ%253D%253D
95,Monplaisir,Le meilleur des mondes,https://www.youtube.com/watch?v=TWB4EcogNa8
96,J Hacha de Zola,Ice Cream & Cigarettes,https://www.youtube.com/watch?v=uU1xarfJOPM
97,Neuroleptic Trio,Summer Variations V,ERROR!
98,Starover Blue,A Flower In Space,ERROR!
